"Season","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2016","TOR",".289","1.16","19.9%","43.0%","37.0%","11.8%","14.5%","102","5.7%","21","36.8%","42.6%","32.2%","25.2%","19.1%","47.7%","33.1%"
"2017","CIN",".294","1.17","20.8%","42.6%","36.6%","9.4%","14.4%","109","6.2%","17","17.2%","40.2%","34.9%","24.9%","20.2%","50.5%","29.4%"
"2021","PHI",".286","1.30","20.5%","44.9%","34.6%","10.7%","14.4%","131","8.5%","19","21.3%","39.2%","34.6%","26.3%","17.5%","51.2%","31.3%"
"2020","BAL",".309","1.14","23.5%","40.8%","35.7%","13.5%","14.4%","58","9.5%","16","40.0%","43.3%","32.3%","24.3%","19.6%","51.7%","28.7%"
"2019","LAA",".281","1.21","21.6%","42.9%","35.5%","11.1%","14.4%","104","5.6%","6","35.3%","43.9%","33.2%","22.9%","16.5%","45.1%","38.4%"
"2019","BAL",".293","1.23","20.3%","43.9%","35.7%","10.7%","14.4%","137","7.5%","26","36.1%","41.5%","34.1%","24.4%","18.9%","48.7%","32.4%"
"2003","NYY",".295","1.24","21.7%","43.3%","35.0%","10.3%","14.4%","118","6.0%","20","38.5%","44.8%","29.0%","26.2%","15.9%","57.3%","26.7%"
"2011","NYY",".292","1.29","19.1%","45.6%","35.3%","10.7%","14.3%","127","6.3%","23","29.1%","42.9%","33.3%","23.8%","23.8%","49.4%","26.8%"
"2021","CLE",".279","1.19","19.9%","43.5%","36.6%","11.4%","14.3%","101","6.8%","13","27.1%","40.3%","34.7%","25.0%","16.5%","51.7%","31.7%"
"2018","STL",".294","1.23","22.3%","42.9%","34.8%","8.6%","14.3%","135","7.6%","18","19.1%","41.6%","33.1%","25.2%","16.9%","44.0%","39.1%"
"2019","STL",".292","1.13","22.2%","41.3%","36.5%","9.0%","14.3%","134","8.1%","20","23.0%","41.0%","35.2%","23.8%","16.6%","43.2%","40.2%"
"2015","BAL",".291","1.18","20.3%","43.1%","36.6%","10.0%","14.3%","130","7.3%","18","31.6%","41.8%","33.8%","24.4%","18.5%","51.4%","30.1%"
"2016","STL",".294","1.15","19.9%","42.9%","37.2%","7.6%","14.3%","145","8.0%","17","23.3%","41.8%","33.0%","25.2%","17.1%","49.5%","33.4%"
"2017","TOR",".276","1.17","19.2%","43.6%","37.2%","10.7%","14.3%","94","5.2%","11","22.0%","40.2%","34.6%","25.1%","19.3%","49.8%","30.8%"
"2005","TEX",".290","1.01","20.6%","39.9%","39.4%","10.8%","14.2%","110","5.9%","4","26.7%","43.7%","30.9%","25.4%","13.8%","55.7%","30.4%"
"2017","OAK",".294","0.93","20.8%","38.1%","41.1%","9.3%","14.2%","92","6.0%","8","27.6%","39.2%","35.6%","25.1%","16.8%","50.8%","32.4%"
"2016","TEX",".298","1.28","20.1%","44.8%","35.0%","10.6%","14.2%","129","6.7%","21","40.4%","41.5%","34.5%","24.0%","19.0%","49.6%","31.4%"
"2017","HOU",".309","1.19","19.5%","43.7%","36.8%","11.0%","14.2%","157","7.9%","20","50.0%","40.4%","34.8%","24.7%","17.8%","49.9%","32.3%"
"2012","BAL",".286","1.25","20.0%","44.5%","35.5%","9.9%","14.2%","120","6.3%","17","25.8%","42.4%","34.8%","22.8%","16.1%","53.0%","31.0%"
"2019","CHW",".329","1.45","21.2%","46.6%","32.2%","9.5%","14.2%","145","7.8%","16","25.8%","38.0%","33.3%","28.7%","17.6%","49.6%","32.8%"
"2020","SFG",".311","1.08","22.1%","40.5%","37.5%","7.5%","14.2%","35","5.7%","3","30.0%","42.9%","34.0%","23.0%","16.3%","48.9%","34.9%"
"2017","WSN",".311","1.23","20.3%","43.9%","35.8%","8.9%","14.2%","137","7.4%","12","16.0%","39.1%","34.7%","26.1%","17.8%","50.8%","31.4%"
"2016","COL",".326","1.31","22.0%","44.2%","33.8%","8.7%","14.1%","121","6.4%","28","25.9%","37.8%","34.8%","27.4%","18.1%","49.1%","32.8%"
"2021","LAD",".283","1.02","20.1%","40.3%","39.6%","8.3%","14.1%","118","8.3%","3","8.3%","41.7%","34.1%","24.2%","14.0%","50.9%","35.1%"
"2017","COL",".332","1.40","21.1%","46.0%","32.9%","7.7%","14.1%","118","6.2%","16","16.8%","36.2%","36.2%","27.6%","19.2%","49.2%","31.7%"
"2021","MIL",".288","1.23","21.0%","43.5%","35.5%","9.7%","14.1%","104","7.0%","9","20.0%","40.1%","35.5%","24.4%","17.0%","49.9%","33.1%"
"2002","NYY",".310","1.21","21.5%","42.9%","35.6%","10.2%","14.1%","114","6.0%","11","27.5%","44.6%","27.4%","28.0%","14.2%","61.0%","24.8%"
"2003","ATL",".302","1.24","21.2%","43.6%","35.2%","11.4%","14.1%","143","6.9%","10","9.5%","45.0%","28.3%","26.7%","15.4%","58.2%","26.4%"
"2004","CHC",".292","1.14","21.1%","42.0%","36.9%","10.8%","14.1%","127","6.7%","34","23.3%","45.6%","26.5%","27.9%","14.9%","55.7%","29.4%"
"2016","HOU",".298","1.27","21.2%","44.1%","34.7%","8.9%","14.1%","137","7.6%","34","38.6%","43.8%","34.1%","22.1%","17.5%","49.5%","33.0%"
"2009","NYY",".306","1.15","19.5%","43.1%","37.3%","10.1%","14.0%","138","6.9%","12","21.1%","41.0%","32.8%","26.2%","16.7%","55.6%","27.8%"
"2018","TEX",".292","1.25","21.1%","43.8%","35.0%","9.9%","14.0%","118","6.8%","26","30.2%","40.5%","34.0%","25.5%","17.2%","45.5%","37.3%"
"2018","TOR",".286","1.08","21.1%","41.0%","37.9%","12.2%","13.9%","110","6.5%","3","25.0%","42.7%","32.6%","24.7%","18.8%","47.7%","33.5%"
"2016","LAD",".294","1.42","21.0%","46.4%","32.6%","8.4%","13.9%","101","5.2%","16","22.2%","37.7%","35.4%","26.9%","16.9%","49.7%","33.4%"
"2018","LAA",".277","1.12","21.6%","41.4%","37.0%","11.9%","13.8%","130","7.5%","6","23.1%","44.9%","33.4%","21.7%","18.5%","44.1%","37.4%"
"2005","NYY",".297","1.31","17.6%","46.8%","35.7%","10.2%","13.8%","142","6.5%","15","25.9%","47.1%","28.1%","24.8%","17.7%","51.0%","31.2%"
"2016","TBR",".293","1.06","19.6%","41.4%","39.1%","12.4%","13.8%","127","7.7%","12","31.6%","43.5%","32.0%","24.5%","19.0%","48.4%","32.6%"
"2006","ATL",".304","1.19","20.3%","43.2%","36.5%","9.4%","13.8%","119","6.2%","15","12.6%","38.8%","34.9%","26.3%","10.8%","59.1%","30.1%"
"2018","OAK",".294","1.02","21.4%","39.7%","38.9%","9.9%","13.8%","117","7.0%","0","0.0%","40.3%","34.9%","24.8%","15.5%","44.7%","39.8%"
"2021","LAA",".298","1.19","21.7%","42.6%","35.7%","10.3%","13.7%","108","7.3%","18","30.0%","40.3%","33.9%","25.8%","17.2%","52.4%","30.4%"
"2020","KCR",".297","1.26","22.5%","43.2%","34.3%","9.3%","13.7%","34","5.4%","10","29.4%","41.5%","36.6%","21.9%","18.1%","51.9%","30.0%"
"2021","BOS",".309","1.07","21.2%","40.8%","38.1%","12.1%","13.7%","100","6.7%","4","19.0%","39.8%","33.6%","26.6%","16.6%","50.1%","33.2%"
"2003","TEX",".287","1.00","24.4%","37.7%","37.9%","14.5%","13.7%","119","6.8%","19","30.6%","47.1%","26.6%","26.3%","15.6%","57.0%","27.4%"
"2016","DET",".312","1.15","21.6%","41.9%","36.5%","8.3%","13.6%","96","5.4%","11","27.5%","39.8%","34.3%","25.8%","17.3%","49.5%","33.2%"
"2012","CHW",".289","1.19","21.6%","42.5%","35.9%","10.6%","13.6%","119","6.5%","18","30.0%","40.7%","33.8%","25.6%","17.2%","54.7%","28.1%"
"2010","TOR",".269","0.91","16.9%","39.6%","43.4%","12.4%","13.6%","111","6.4%","6","20.7%","44.0%","34.2%","21.9%","17.8%","48.0%","34.2%"
"2016","NYM",".282","1.02","22.0%","39.5%","38.5%","9.6%","13.6%","75","4.6%","11","15.7%","40.3%","35.1%","24.6%","19.1%","47.3%","33.6%"
"2017","CHW",".309","1.42","19.4%","47.2%","33.3%","9.3%","13.6%","147","7.6%","16","22.5%","40.1%","33.6%","26.4%","20.1%","50.2%","29.8%"
"2003","MIL",".294","1.35","21.0%","45.3%","33.7%","11.6%","13.6%","116","6.0%","31","23.0%","41.3%","29.4%","29.3%","14.5%","61.0%","24.5%"
"2004","CHW",".288","1.02","19.3%","40.8%","39.9%","13.6%","13.6%","131","7.2%","29","22.7%","44.3%","26.5%","29.2%","14.6%","56.8%","28.6%"
"2003","COL",".302","1.32","22.7%","43.9%","33.3%","10.5%","13.6%","116","6.0%","21","21.9%","42.8%","28.2%","29.0%","15.9%","59.7%","24.4%"
"2021","DET",".302","1.18","22.9%","41.8%","35.4%","10.3%","13.5%","85","6.0%","5","17.2%","39.4%","34.0%","26.6%","16.3%","52.8%","31.0%"
"2020","DET",".314","1.27","22.4%","43.4%","34.3%","9.8%","13.5%","32","5.5%","2","50.0%","40.0%","34.9%","25.1%","17.7%","52.6%","29.7%"
"2006","CHW",".305","1.11","20.1%","42.0%","37.9%","11.1%","13.5%","121","6.3%","21","20.8%","41.7%","31.7%","26.6%","11.0%","59.0%","30.0%"
"2006","CIN",".290","1.15","19.5%","43.1%","37.4%","8.9%","13.5%","107","5.8%","24","19.4%","41.4%","34.1%","24.5%","11.1%","61.0%","27.9%"
"2008","PHI",".283","1.17","21.3%","42.4%","36.3%","11.7%","13.4%","100","5.4%","17","14.8%","43.7%","33.6%","22.8%","20.2%","47.9%","31.9%"
"2018","CHW",".304","1.31","20.6%","45.0%","34.4%","10.0%","13.4%","123","6.9%","16","31.4%","40.4%","33.8%","25.7%","19.0%","48.9%","32.1%"
"2021","SEA",".273","1.06","19.6%","41.3%","39.1%","12.1%","13.4%","89","6.5%","10","35.7%","40.8%","35.6%","23.6%","19.2%","49.9%","30.9%"
"2015","SEA",".292","1.27","20.6%","44.4%","35.1%","8.5%","13.4%","103","5.5%","17","23.3%","38.9%","35.2%","26.0%","16.9%","52.0%","31.1%"
"2015","WSN",".300","1.47","20.4%","47.3%","32.3%","8.7%","13.4%","127","6.6%","28","26.7%","38.8%","34.4%","26.8%","18.3%","52.4%","29.4%"
"2004","CIN",".295","1.28","20.7%","44.6%","34.7%","10.4%","13.4%","133","7.2%","16","16.0%","43.9%","28.7%","27.4%","15.0%","58.8%","26.2%"
"2017","NYM",".286","1.02","20.2%","40.2%","39.6%","10.4%","13.4%","113","6.7%","11","16.2%","40.3%","35.6%","24.1%","18.6%","47.8%","33.5%"
"2020","MIA",".306","1.48","20.2%","47.6%","32.1%","9.4%","13.4%","53","8.0%","2","13.3%","39.8%","34.0%","26.3%","16.3%","52.4%","31.2%"
"2002","CHC",".283","1.25","20.1%","44.4%","35.4%","12.4%","13.4%","103","5.5%","19","15.8%","43.9%","29.0%","27.1%","15.8%","59.6%","24.6%"
"2021","NYM",".291","1.25","21.3%","43.7%","35.0%","10.6%","13.3%","111","7.6%","11","18.3%","39.3%","34.6%","26.1%","17.4%","51.1%","31.5%"
"2006","PHI",".302","1.21","20.1%","43.7%","36.1%","12.0%","13.3%","126","6.4%","15","15.3%","43.0%","33.4%","23.7%","12.1%","57.3%","30.5%"
"2017","STL",".304","1.21","21.0%","43.3%","35.7%","8.3%","13.3%","120","6.7%","21","23.6%","41.4%","33.9%","24.7%","18.3%","49.2%","32.4%"
"2004","STL",".307","1.20","21.1%","43.0%","35.8%","10.1%","13.3%","131","6.8%","25","20.5%","41.3%","29.6%","29.1%","13.9%","59.0%","27.2%"
"2004","PHI",".297","1.18","21.4%","42.6%","36.0%","9.9%","13.2%","112","5.8%","21","18.3%","43.1%","29.9%","27.0%","14.1%","55.6%","30.3%"
"2016","SDP",".291","1.32","20.5%","45.2%","34.3%","9.9%","13.2%","97","5.5%","18","22.0%","39.6%","34.8%","25.6%","18.9%","50.6%","30.5%"
"2014","BAL",".296","1.17","19.8%","43.2%","37.1%","11.0%","13.2%","124","6.7%","20","29.0%","42.9%","33.4%","23.6%","18.0%","51.3%","30.6%"
"2021","SDP",".285","1.31","20.1%","45.3%","34.6%","12.5%","13.2%","109","6.9%","10","17.2%","39.4%","36.0%","24.6%","17.6%","50.3%","32.2%"
"2016","CHC",".302","1.17","21.3%","42.5%","36.3%","10.0%","13.2%","132","7.5%","27","30.7%","42.8%","35.0%","22.2%","19.5%","49.7%","30.8%"
"2017","CLE",".295","1.17","20.3%","42.9%","36.8%","9.4%","13.2%","124","6.6%","20","35.1%","42.3%","34.6%","23.1%","17.3%","50.2%","32.5%"
"2016","BOS",".320","1.28","20.8%","44.4%","34.8%","11.2%","13.2%","142","7.1%","3","13.0%","41.4%","33.8%","24.8%","19.3%","47.3%","33.4%"
"2004","COL",".314","1.28","19.8%","45.1%","35.1%","10.1%","13.2%","121","6.1%","31","18.7%","41.2%","28.8%","30.0%","14.3%","58.1%","27.7%"
"2020","WSN",".308","1.32","23.8%","43.3%","32.9%","7.6%","13.2%","44","6.7%","8","40.0%","36.9%","36.6%","26.4%","18.1%","50.0%","31.9%"
"2017","MIN",".306","1.11","21.2%","41.5%","37.3%","10.6%","13.2%","100","5.7%","31","39.2%","41.0%","34.6%","24.3%","17.1%","50.7%","32.2%"
"2021","COL",".295","1.29","20.1%","45.0%","34.9%","8.4%","13.1%","102","6.4%","10","12.3%","37.1%","35.7%","27.3%","17.1%","50.0%","32.9%"
"2012","WSN",".308","1.33","19.5%","45.9%","34.6%","10.4%","13.1%","127","6.5%","27","26.2%","38.0%","36.6%","25.5%","15.9%","54.3%","29.9%"
"2016","MIN",".300","1.16","20.9%","42.6%","36.6%","9.1%","13.1%","103","5.8%","20","23.8%","41.5%","33.5%","25.0%","18.5%","50.4%","31.1%"
"2018","BOS",".309","1.20","20.5%","43.5%","36.1%","9.6%","13.1%","144","7.5%","4","23.5%","40.6%","33.8%","25.5%","16.5%","49.2%","34.4%"
"2016","WSN",".293","1.20","19.4%","44.0%","36.5%","9.6%","13.1%","122","6.5%","24","23.5%","40.5%","34.6%","24.9%","18.2%","49.0%","32.8%"
"2018","CLE",".291","1.08","22.3%","40.3%","37.4%","10.5%","13.1%","107","6.0%","15","25.4%","40.6%","35.6%","23.8%","16.5%","45.1%","38.4%"
"2002","TEX",".292","1.05","21.4%","40.2%","38.4%","10.8%","13.1%","120","6.5%","15","20.0%","43.6%","29.7%","26.7%","13.4%","62.4%","24.2%"
"2012","LAA",".311","1.46","19.7%","47.7%","32.6%","10.8%","13.1%","129","6.2%","44","36.7%","40.1%","35.8%","24.1%","14.6%","56.0%","29.4%"
"2017","SDP",".287","1.13","19.4%","42.9%","37.8%","13.3%","13.1%","132","8.0%","25","23.1%","41.0%","33.8%","25.2%","22.7%","47.3%","30.0%"
"2018","WSN",".297","1.27","20.8%","44.3%","34.9%","10.2%","13.0%","109","5.9%","31","28.2%","38.7%","35.2%","26.1%","18.8%","49.2%","32.0%"
"2004","LAD",".291","1.29","19.3%","45.4%","35.3%","11.8%","13.0%","135","6.7%","27","19.4%","41.2%","31.6%","27.2%","17.0%","58.4%","24.6%"
"2018","ARI",".286","1.30","22.5%","43.8%","33.8%","10.1%","13.0%","108","6.2%","11","13.3%","39.9%","35.0%","25.1%","17.2%","43.1%","39.8%"
"2014","COL",".326","1.39","21.3%","45.8%","32.9%","9.2%","13.0%","140","7.0%","25","25.0%","37.7%","35.9%","26.4%","17.9%","51.4%","30.7%"
"2008","FLA",".300","1.09","19.5%","41.9%","38.6%","10.8%","13.0%","109","6.3%","13","16.0%","44.1%","31.4%","24.5%","18.8%","52.7%","28.5%"
"2005","CLE",".302","1.27","20.3%","44.6%","35.0%","9.7%","13.0%","127","6.3%","13","19.4%","46.5%","28.2%","25.4%","13.8%","55.1%","31.1%"
"2012","MIL",".299","1.23","18.6%","44.9%","36.4%","9.3%","13.0%","158","8.3%","40","24.4%","37.9%","36.9%","25.2%","15.8%","53.6%","30.5%"
